constIndex:254|chunk_sci1_6 (282)|localPosition.x:-25.64|localPosition.y:-28.16|localPosition.z:-23.06|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:241|chunk_sci1_1|localPosition.x:53.72|localPosition.y:-28.16|localPosition.z:-23.06|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:245|chunk_sci1_2|localPosition.x:48.6|localPosition.y:-28.16|localPosition.z:-23.06|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:245|chunk_sci1_2 (1)|localPosition.x:48.6|localPosition.y:-28.16|localPosition.z:-23.06|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:241|chunk_sci1_1 (1)|localPosition.x:53.72|localPosition.y:-28.16|localPosition.z:-23.06|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:245|chunk_sci1_2 (2)|localPosition.x:48.6|localPosition.y:-28.16|localPosition.z:-20.5|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:241|chunk_sci1_1 (2)|localPosition.x:53.72|localPosition.y:-28.16|localPosition.z:-20.5|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:245|chunk_sci1_2 (3)|localPosition.x:48.6|localPosition.y:-28.16|localPosition.z:-17.94|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:241|chunk_sci1_1 (3)|localPosition.x:53.72|localPosition.y:-28.16|localPosition.z:-17.94|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:245|chunk_sci1_2 (4)|localPosition.x:48.6|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:241|chunk_sci1_1 (4)|localPosition.x:53.72|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:241|chunk_sci1_1 (5)|localPosition.x:48.6|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:241|chunk_sci1_1 (6)|localPosition.x:53.72|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:245|chunk_sci1_2 (5)|localPosition.x:48.6|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:245|chunk_sci1_2 (6)|localPosition.x:48.6|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:245|chunk_sci1_2 (7)|localPosition.x:51.16|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:245|chunk_sci1_2 (8)|localPosition.x:53.72|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:245|chunk_sci1_2 (9)|localPosition.x:53.72|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:241|chunk_sci1_1 (7)|localPosition.x:51.16|localPosition.y:-28.16|localPosition.z:-12.82|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:241|chunk_sci1_1 (8)|localPosition.x:51.16|localPosition.y:-28.16|localPosition.z:-12.82|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:245|chunk_sci1_2 (10)|localPosition.x:56.28|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:245|chunk_sci1_2 (11)|localPosition.x:56.28|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:245|chunk_sci1_2 (12)|localPosition.x:46.04|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:245|chunk_sci1_2 (13)|localPosition.x:46.04|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:245|chunk_sci1_2 (14)|localPosition.x:43.48|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:245|chunk_sci1_2 (15)|localPosition.x:43.48|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:245|chunk_sci1_2 (16)|localPosition.x:38.36|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:245|chunk_sci1_2 (17)|localPosition.x:38.36|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:245|chunk_sci1_2 (18)|localPosition.x:35.8|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:245|chunk_sci1_2 (19)|localPosition.x:30.68|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:245|chunk_sci1_2 (20)|localPosition.x:33.24|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:245|chunk_sci1_2 (21)|localPosition.x:30.68|localPosition.y:-28.16|localPosition.z:-10.26|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:241|chunk_sci1_1 (9)|localPosition.x:40.92|localPosition.y:-28.16|localPosition.z:-7.7|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:241|chunk_sci1_1 (10)|localPosition.x:40.92|localPosition.y:-28.16|localPosition.z:-7.7|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:241|chunk_sci1_1 (11)|localPosition.x:35.8|localPosition.y:-28.16|localPosition.z:-7.7|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:241|chunk_sci1_1 (12)|localPosition.x:35.8|localPosition.y:-28.16|localPosition.z:-7.7|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:241|chunk_sci1_1 (13)|localPosition.x:33.24|localPosition.y:-28.16|localPosition.z:-12.82|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:241|chunk_sci1_1 (14)|localPosition.x:33.24|localPosition.y:-28.16|localPosition.z:-12.82|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:270|chunk_sci2_5|localPosition.x:43.48|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:270|chunk_sci2_5 (1)|localPosition.x:33.24|localPosition.y:-28.16|localPosition.z:-25.62|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:270|chunk_sci2_5 (2)|localPosition.x:33.24|localPosition.y:-28.16|localPosition.z:-28.18|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:270|chunk_sci2_5 (3)|localPosition.x:38.36|localPosition.y:-28.16|localPosition.z:-35.86|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:270|chunk_sci2_5 (4)|localPosition.x:38.36|localPosition.y:-25.6|localPosition.z:-35.86|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:270|chunk_sci2_5 (5)|localPosition.x:38.36|localPosition.y:-23.04|localPosition.z:-35.86|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:270|chunk_sci2_5 (6)|localPosition.x:40.92|localPosition.y:-23.04|localPosition.z:-35.86|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:270|chunk_sci2_5 (7)|localPosition.x:40.92|localPosition.y:-25.6|localPosition.z:-35.86|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:270|chunk_sci2_5 (8)|localPosition.x:38.36|localPosition.y:-28.16|localPosition.z:-35.86|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:270|chunk_sci2_5 (9)|localPosition.x:38.36|localPosition.y:-23.04|localPosition.z:-35.86|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:270|chunk_sci2_5 (10)|localPosition.x:40.92|localPosition.y:-25.6|localPosition.z:-35.86|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:270|chunk_sci2_5 (11)|localPosition.x:38.36|localPosition.y:-25.6|localPosition.z:-35.86|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:270|chunk_sci2_5 (12)|localPosition.x:40.92|localPosition.y:-23.04|localPosition.z:-35.86|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:270|chunk_sci2_5 (13)|localPosition.x:40.92|localPosition.y:-21.12|localPosition.z:-35.86|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:270|chunk_sci2_5 (14)|localPosition.x:17.88|localPosition.y:-28.16|localPosition.z:-35.86|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:270|chunk_sci2_5 (15)|localPosition.x:17.88|localPosition.y:-30.72|localPosition.z:-35.86|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:270|chunk_sci2_5 (16)|localPosition.x:17.88|localPosition.y:-25.6|localPosition.z:-35.86|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:270|chunk_sci2_5 (17)|localPosition.x:17.88|localPosition.y:-28.16|localPosition.z:-35.86|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:270|chunk_sci2_5 (18)|localPosition.x:17.88|localPosition.y:-25.6|localPosition.z:-35.86|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:270|chunk_sci2_5 (19)|localPosition.x:17.88|localPosition.y:-30.72|localPosition.z:-35.86|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:245|chunk_sci1_2 (22)|localPosition.x:58.84|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:245|chunk_sci1_2 (23)|localPosition.x:58.84|localPosition.y:-28.16|localPosition.z:-17.94|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:245|chunk_sci1_2 (24)|localPosition.x:58.84|localPosition.y:-28.16|localPosition.z:-17.94|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:245|chunk_sci1_2 (25)|localPosition.x:61.4|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:241|chunk_sci1_1 (15)|localPosition.x:63.96|localPosition.y:-28.16|localPosition.z:-12.82|localRotation.x:-0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:0.5
constIndex:241|chunk_sci1_1 (16)|localPosition.x:63.96|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:241|chunk_sci1_1 (17)|localPosition.x:66.52|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:241|chunk_sci1_1 (18)|localPosition.x:69.08|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:-0.7071|localRotation.y:0|localRotation.z:0|localRotation.w:0.70711
constIndex:241|chunk_sci1_1 (19)|localPosition.x:69.08|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:241|chunk_sci1_1 (20)|localPosition.x:66.52|localPosition.y:-28.16|localPosition.z:-12.82|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:241|chunk_sci1_1 (21)|localPosition.x:63.96|localPosition.y:-28.16|localPosition.z:-12.82|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0.70711|localRotation.w:0
constIndex:241|chunk_sci1_1 (22)|localPosition.x:66.52|localPosition.y:-28.16|localPosition.z:-12.82|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:129|chunk_maint2_2|localPosition.x:46.04|localPosition.y:-23.68|localPosition.z:-38.42|localRotation.x:0.5|localRotation.y:0.5|localRotation.z:0.5|localRotation.w:-0.5
constIndex:144|chunk_maint3_1|localPosition.x:46.04|localPosition.y:-23.68|localPosition.z:-40.98|localRotation.x:0|localRotation.y:0.70711|localRotation.z:0|localRotation.w:-0.7071
constIndex:227|chunk_reac3_3|localPosition.x:46.04|localPosition.y:-24.64|localPosition.z:-40.98|localRotation.x:1|localRotation.y:0|localRotation.z:0|localRotation.w:0
constIndex:62|chunk_exec2_4|localPosition.x:63.96|localPosition.y:-28.16|localPosition.z:-12.82|localRotation.x:1|localRotation.y:0|localRotation.z:0|localRotation.w:0
constIndex:62|chunk_exec2_4 (1)|localPosition.x:63.96|localPosition.y:-28.16|localPosition.z:-12.82|localRotation.x:0|localRotation.y:0|localRotation.z:0|localRotation.w:1
constIndex:62|chunk_exec2_4 (2)|localPosition.x:63.96|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:0|localRotation.y:0|localRotation.z:0|localRotation.w:1
constIndex:62|chunk_exec2_4 (3)|localPosition.x:63.96|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:1|localRotation.y:0|localRotation.z:0|localRotation.w:0
constIndex:62|chunk_exec2_4 (4)|localPosition.x:66.52|localPosition.y:-28.16|localPosition.z:-12.82|localRotation.x:0|localRotation.y:0|localRotation.z:0|localRotation.w:1
constIndex:62|chunk_exec2_4 (5)|localPosition.x:66.52|localPosition.y:-28.16|localPosition.z:-12.82|localRotation.x:1|localRotation.y:0|localRotation.z:0|localRotation.w:0
constIndex:62|chunk_exec2_4 (6)|localPosition.x:66.52|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:0|localRotation.y:0|localRotation.z:0|localRotation.w:1
constIndex:62|chunk_exec2_4 (7)|localPosition.x:66.52|localPosition.y:-28.16|localPosition.z:-15.38|localRotation.x:1|localRotation.y:0|localRotation.z:0|localRotation.w:0
