constIndex:135|lP.x:-40.34|lP.y:34.935|lP.z:4.2116|lR.x:0|lR.y:.92388|lR.z:.38268|lR.w:0|lS.x:1|lS.y:1|lS.z:1.41422
constIndex:54|lP.x:-55.7|lP.y:35.84|lP.z:28.1567|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:54|lP.x:44.14|lP.y:34.24|lP.z:-25.6033|lR.x:0|lR.y:0|lR.z:0|lR.w:1|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:31.34|lP.y:33.92|lP.z:-58.8833|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:-1.94|lP.y:35.84|lP.z:-10.2433|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:-1.94|lP.y:35.84|lP.z:-7.6833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:-1.94|lP.y:35.84|lP.z:-5.1233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:27|lP.x:-1.94|lP.y:35.84|lP.z:-10.2433|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:27|lP.x:-1.94|lP.y:35.84|lP.z:-5.1233|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:27|lP.x:.62|lP.y:35.84|lP.z:-5.1233|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:27|lP.x:3.18|lP.y:35.84|lP.z:-5.1233|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:27|lP.x:5.74|lP.y:35.84|lP.z:-5.1233|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:.62|lP.y:35.84|lP.z:-5.1233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:3.18|lP.y:35.84|lP.z:-5.1233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:5.74|lP.y:35.84|lP.z:-5.1233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:-9.62|lP.y:33.92|lP.z:-28.1633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:-9.62|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:-9.62|lP.y:33.92|lP.z:-30.7233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:-7.06|lP.y:33.92|lP.z:-28.1633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:-7.06|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:-7.06|lP.y:33.92|lP.z:-30.7233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:-4.5|lP.y:33.92|lP.z:-28.1633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:-4.5|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:-4.5|lP.y:33.92|lP.z:-30.7233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:5.74|lP.y:33.92|lP.z:-28.1633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:5.74|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:5.74|lP.y:33.92|lP.z:-30.7233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:15.98|lP.y:33.92|lP.z:-30.7233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:15.98|lP.y:33.92|lP.z:-28.1633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:15.98|lP.y:33.92|lP.z:-33.2833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:18.54|lP.y:33.92|lP.z:-46.0833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:18.54|lP.y:33.92|lP.z:-43.5233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:18.54|lP.y:33.92|lP.z:-48.6433|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:21.1|lP.y:33.92|lP.z:-46.0833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:21.1|lP.y:33.92|lP.z:-43.5233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:21.1|lP.y:33.92|lP.z:-48.6433|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:23.66|lP.y:33.92|lP.z:-46.0833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:23.66|lP.y:33.92|lP.z:-43.5233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:23.66|lP.y:33.92|lP.z:-48.6433|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:28.78|lP.y:33.92|lP.z:-43.5233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
