constIndex:46|lP.x:38.0611|lP.y:47.735|lP.z:-17.1094|lR.x:-.38261|lR.y:0|lR.z:0|lR.w:.92391|lS.x:1|lS.y:1|lS.z:1.41422
constIndex:41|lP.x:32.9411|lP.y:46.985|lP.z:-64.9994|lR.x:.92388|lR.y:0|lR.z:0|lR.w:.38268|lS.x:1|lS.y:1|lS.z:1.41422
constIndex:41|lP.x:22.7011|lP.y:48.96|lP.z:-56.4144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:141|lP.x:-.3389|lP.y:51.2|lP.z:-79.4544|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-.3389|lP.y:53.76|lP.z:-5.2144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-2.8989|lP.y:53.76|lP.z:-5.2144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-5.4589|lP.y:53.76|lP.z:-5.2144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-5.4589|lP.y:53.76|lP.z:-7.7744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-5.4589|lP.y:53.76|lP.z:-2.6544|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-8.0189|lP.y:53.76|lP.z:-5.2144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:4.7811|lP.y:53.76|lP.z:-5.2144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3411|lP.y:53.76|lP.z:-5.2144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:9.9011|lP.y:53.76|lP.z:-7.7744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:9.9011|lP.y:53.76|lP.z:-5.2144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:9.9011|lP.y:53.76|lP.z:-2.6544|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:12.4611|lP.y:53.76|lP.z:-5.2144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:15.0211|lP.y:53.76|lP.z:-5.2144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:15.0211|lP.y:53.76|lP.z:-7.7744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:15.0211|lP.y:53.76|lP.z:-10.3344|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.5811|lP.y:53.76|lP.z:-10.3344|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
