constIndex:144|lP.x:39.7511|lP.y:107.882|lP.z:-56.2306|lR.x:.92388|lR.y:.38268|lR.z:0|lR.w:0|lS.x:1.415|lS.y:1|lS.z:1
constIndex:302|lP.x:-7.9839|lP.y:106.937|lP.z:12.5794|lR.x:.99251|lR.y:0|lR.z:0|lR.w:.12218|lS.x:1|lS.y:1|lS.z:1.04
constIndex:282|lP.x:9.9361|lP.y:112.0969|lP.z:-17.8306|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.6161|lP.y:109.5369|lP.z:-17.8306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:20.1761|lP.y:109.5369|lP.z:-17.8306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:22.7361|lP.y:109.5369|lP.z:-17.8306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:15.0561|lP.y:109.5369|lP.z:-17.8306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:15.0561|lP.y:109.5369|lP.z:-15.2706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:15.0561|lP.y:109.5369|lP.z:-12.7106|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:15.0561|lP.y:109.5369|lP.z:-10.1506|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.6161|lP.y:109.5369|lP.z:-10.1506|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:20.1761|lP.y:109.5369|lP.z:-10.1506|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:22.7361|lP.y:109.5369|lP.z:-10.1506|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:22.7361|lP.y:109.5369|lP.z:-12.7106|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:22.7361|lP.y:109.5369|lP.z:-15.2706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.6161|lP.y:109.5369|lP.z:-7.5906|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:20.1761|lP.y:109.5369|lP.z:-7.5906|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:20.1761|lP.y:109.5369|lP.z:-5.0306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.6161|lP.y:109.5369|lP.z:-5.0306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
