prefab,game_object,psys_id,duration,looping,emit_rate,lifetime,speed,size,gravity,shape,shape_type,shape_radius,shape_angle,color_over_lifetime,size_over_lifetime,velocity_over_lifetime,rotation_over_lifetime,texture_sheet,materials,textures,voxen_texture_indices,renderer_mode,renderer_length_scale,trail_lifetime,trail_width,features,unsupported
Assets/Resources/Prefabs/TargetIDInstance.prefab,TargetIDInstance,5266519303960906697,1,1,0,1,0,1.2,0,point,0,1,25,off,off,off,off,off,ef_nodamageindicatoroverlay,nodamage.png,1051,0,2,off,off,,
Assets/Resources/Prefabs/chunk_grove1_1.prefab,ef_mist_gentle (2),99338776619937795,120,1,curve[0:3;0.090879:3;0.13166:0;0.96206:0;1:3],3.5..20,0.4..0.5,1,0.01..0.03,cone,2,0.08,15,"c0:(0.16037738,0.16037738,0.16037738,0.6901961);a0:0.6901961;c1:(0.41509432,0.41509432,0.41509432,0.073771626);a0.15:0.073771626;a1:0",curve[0:0;1:6],x:0;y:0;z:0,off,off,ef_particlewaterspray_reduced,ParticleCloudWhiteReduced.png,583,0,2,off,off,shape:cone,shape distribution/rotation; separate color/alpha key timing
Assets/Resources/Prefabs/chunk_grove1_1.prefab,ef_mist_gentle (1),5538543746463778847,120,1,curve[0:3;0.090879:3;0.13166:0;0.96206:0;1:3],3.5..20,0.4..0.5,1,0.01..0.03,cone,2,0.08,15,"c0:(0.16037738,0.16037738,0.16037738,0.6901961);a0:0.6901961;c1:(0.41509432,0.41509432,0.41509432,0.073771626);a0.15:0.073771626;a1:0",curve[0:0;1:6],x:0;y:0;z:0,off,off,ef_particlewaterspray_reduced,ParticleCloudWhiteReduced.png,583,0,2,off,off,shape:cone,shape distribution/rotation; separate color/alpha key timing
Assets/Resources/Prefabs/chunk_grove1_1.prefab,ef_mist_gentle,2431140081011145492,120,1,curve[0:3;0.090879:3;0.13166:0;0.96206:0;1:3],3.5..20,0.4..0.5,1,0.01..0.03,cone,2,0.08,15,"c0:(0.16037738,0.16037738,0.16037738,0.6901961);a0:0.6901961;c1:(0.41509432,0.41509432,0.41509432,0.073771626);a0.15:0.073771626;a1:0",curve[0:0;1:6],x:0;y:0;z:0,off,off,ef_particlewaterspray_reduced,ParticleCloudWhiteReduced.png,583,0,2,off,off,shape:cone,shape distribution/rotation; separate color/alpha key timing
Assets/Resources/Prefabs/chunk_screen.prefab,bitsburst (1),3949759465575324704,1.5,0,0,0.8..1.2,5..10,0.02..0.05,2,cone,2,1.28,60,"c0:(0.9150943,0.7122673,0.58272517,1);a0:1;c0.98824:(0.9150943,0.7122673,0.58272517,0);a1:0",off,off,off,off,ef_onepixel,onepixel.png,579,0,2,off,off,shape:cone,shape distribution/rotation
Assets/Resources/Prefabs/chunk_screen.prefab,glassbursteffect,884382040095548843,1.5,0,0,0.2..0.8,3..8,0.05..0.2,0.5,cone,2,1.28,60,"c0:(1,1,1,1);a0:1;c1:(1,1,1,0);a1:0",off,off,off,off,ef_camerabits,BurstTiny.png,69,0,2,off,off,shape:cone,shape distribution/rotation
Assets/Resources/Prefabs/chunk_screen.prefab,bitsburst,3448885813541302690,1.5,0,0,0.8..1.2,1..3,0.02..0.05,1,cone,2,1.28,60,"c0:(0.9150943,0.7122673,0.58272517,1);a0:1;c0.98824:(0.9150943,0.7122673,0.58272517,0);a1:0",off,off,off,off,ef_onepixel,onepixel.png,579,0,2,off,off,shape:cone,shape distribution/rotation
Assets/Resources/Prefabs/chunk_screen.prefab,centerBurst,4147686858561091374,1.5,0,0,0.5,0,4,0,point,0,1.28,60,off,curve[0:0.72146;0.80042:0.57078;1:0.050228],off,off,tiles=4x2 frame=curve[0:0;1:0.9999],ef_screendestroysheet,sheet_screendestroyed.png,811,0,2,off,off,flipbook:4x2,
Assets/Resources/Prefabs/ef_fragexplosion.prefab,CentralFireball,19892654,1.25,0,0,0.5..0.8,2..5,15..20,1,sphere,1,0.01,25,"c0:(1,1,1,0.77254903);a0:0.77254903;c1:(1,1,1,0.93333334);a0.044114:0.93333334;a0.48824:0.41960785;a1:0",curve[0:0;0.50132:0.28037;0.70887:0.23836;0.87693:0.058407;1:0],off,1,tiles=1x4 frame=curve[0:0;1:0.9999],ef_fireball,explosion1.psd,2046|2047|2048|2049,0,2,off,off,"shape:sphere,flipbook:1x4",shape distribution/rotation; separate color/alpha key timing
Assets/Resources/Prefabs/ef_fragexplosion.prefab,FireSpits,19818030,1.25,0,0,0.5..0.8,5..8,0.2..0.6,-2,sphere,1,0.01,25,off,curve[0:0;0.50132:0.28037;0.70887:0.23836;0.87693:0.058407;1:0],off,1,off,ef_firespit,explosion1_firespit.png,2050,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/ef_mist.prefab,ef_mist,2026407419473106228,5,1,10,2..6,0.6..0.8,1,0.03,cone,2,0.01,15,"c0:(0.7735849,0.7735849,0.7735849,0.7058824);a0:0.7058824;c0.48824:(0.4716981,0.4716981,0.4716981,0.1882353);a0.2:0.1882353;c1:(0.16981131,0.16981131,0.16981131,0);a1:0",curve[0:0.46154;1:1],x:0;y:0;z:0,off,off,ef_particlewaterspray,ParticleCloudWhite.png,583,0,2,off,off,shape:cone,shape distribution/rotation
Assets/Resources/Prefabs/ef_particle_blasterhit.prefab,Shockwave,2180855900916734822,1.2,0,0,0.8,0,1.2,0,point,0,1,25,"c0:(0.8455882,0.024870265,0.05769895,1);a0:1;c0.52059:(0.38823533,0.15294118,0.15294118,0);a1:0",curve[0:0.081967;0.47415:0.7996;1:1],off,off,off,ef_sparqshockwave,Sparqwave.png,820,0,2,off,off,,
