# sprite/texture cross-ref: Unity asset -> Voxen Data/textures.txt index
# format: voxen_index | unity_path | voxen_path | use_count

899    | Textures/UI/ammopane_red.png                                           | Textures/UI/ammopane_red.png                       | 14
908    | Textures/UI/buttonborder_orange.png                                    | Textures/UI/buttonborder_orange.png                | 11
910    | Textures/UI/checkbox.png                                               | Textures/UI/checkbox.png                           | 36
912    | Textures/UI/checkmark.png                                              | Textures/UI/checkmark.png                          | 30
918    | Textures/UI/clipindicator.png                                          | Textures/UI/clipindicator.png                      | 2
919    | Textures/UI/config_dropdown.png                                        | Textures/UI/config_dropdown.png                    | 50
921    | Textures/UI/config_tab.png                                             | Textures/UI/config_tab.png                         | 2
920    | Textures/UI/config_tabhilite.png                                       | Textures/UI/config_tabhilite.png                   | 1
1261   | Textures/UI/cursors/cursor_normal.png                                  | Textures/UI/cursors/cursor_normal.png              | 1
922    | Textures/UI/datapanel.png                                              | Textures/UI/datapanel.png                          | 3
929    | Textures/UI/elnum6.png                                                 | Textures/UI/elnum6.png                             | 2
945    | Textures/UI/ener_overheatborder.png                                    | Textures/UI/ener_overheatborder.png                | 2
947    | Textures/UI/ener_overheattickgreen.png                                 | Textures/UI/ener_overheattickgreen.png             | 8
948    | Textures/UI/ener_overheattickorange.png                                | Textures/UI/ener_overheattickorange.png            | 6
949    | Textures/UI/ener_overheattickred.png                                   | Textures/UI/ener_overheattickred.png               | 6
950    | Textures/UI/ener_overloadoff.png                                       | Textures/UI/ener_overloadoff.png                   | 14
951    | Textures/UI/ener_overloadon.png                                        | Textures/UI/ener_overloadon.png                    | 2
952    | Textures/UI/ener_settingborder.png                                     | Textures/UI/ener_settingborder.png                 | 6
953    | Textures/UI/ener_settinghandle.png                                     | Textures/UI/ener_settinghandle.png                 | 6
944    | Textures/UI/energy_surge.png                                           | Textures/UI/energy_surge.png                       | 1
939    | Textures/UI/energyindicator.png                                        | Textures/UI/energyindicator.png                    | 1
962    | Textures/UI/health_tickgreen.png                                       | Textures/UI/health_tickgreen.png                   | 14
956    | Textures/UI/healthindicator.png                                        | Textures/UI/healthindicator.png                    | 1
954    | Textures/UI/healthindicatorcyber.png                                   | Textures/UI/healthindicatorcyber.png               | 1
989    | Textures/UI/hud_hwico_biostats_off.png                                 | Textures/UI/hud_hwico_biostats_off.png             | 1
993    | Textures/UI/hud_hwico_booster_off.png                                  | Textures/UI/hud_hwico_booster_off.png              | 1
996    | Textures/UI/hud_hwico_ereader_off.png                                  | Textures/UI/hud_hwico_ereader_off.png              | 1
998    | Textures/UI/hud_hwico_infrared_off.png                                 | Textures/UI/hud_hwico_infrared_off.png             | 1
1000   | Textures/UI/hud_hwico_jumpjets_off.png                                 | Textures/UI/hud_hwico_jumpjets_off.png             | 1
1004   | Textures/UI/hud_hwico_lantern_off.png                                  | Textures/UI/hud_hwico_lantern_off.png              | 1
1009   | Textures/UI/hud_hwico_sensaround_off.png                               | Textures/UI/hud_hwico_sensaround_off.png           | 1
1020   | Textures/UI/hud_shootmode.png                                          | Textures/UI/hud_shootmode.png                      | 1
1021   | Textures/UI/hudtab1.png                                                | Textures/UI/hudtab1.png                            | 5
1022   | Textures/UI/hudtab2.png                                                | Textures/UI/hudtab2.png                            | 15
1024   | Textures/UI/hudtab_on.png                                              | Textures/UI/hudtab_on.png                          | 3
1025   | Textures/UI/infopanel.png                                              | Textures/UI/infopanel.png                          | 2
1272   | Textures/UI/logimages/blank1.png                                       | Textures/UI/logimages/blank1.png                   | 2
1026   | Textures/UI/menu_background_new.png                                    | Textures/UI/menu_background_new.png                | 1
1028   | Textures/UI/menu_button_paddark.png                                    | Textures/UI/menu_button_paddark.png                | 20
1029   | Textures/UI/menu_button_padlit.png                                     | Textures/UI/menu_button_padlit.png                 | 9
1030   | Textures/UI/menu_config.png                                            | Textures/UI/menu_config.png                        | 1
1037   | Textures/UI/menu_load.png                                              | Textures/UI/menu_load.png                          | 2
1049   | Textures/UI/newgame_background.png                                     | Textures/UI/newgame_background.png                 | 1
1048   | Textures/UI/newgame_background_inset.png                               | Textures/UI/newgame_background_inset.png           | 1
1074   | Textures/UI/searchfx.png                                               | Textures/UI/searchfx.png                           | 2
1075   | Textures/UI/selection_box.png                                          | Textures/UI/selection_box.png                      | 1
1076   | Textures/UI/shieldwave.png                                             | Textures/UI/shieldwave.png                         | 4
1079   | Textures/UI/slider.png                                                 | Textures/UI/slider.png                             | 56
1078   | Textures/UI/sliderhandle.png                                           | Textures/UI/sliderhandle.png                       | 16
1087   | Textures/UI/vaporizebutton_outline.png                                 | Textures/UI/vaporizebutton_outline.png             | 8
1086   | Textures/UI/vaporizebutton_outline_dark.png                            | Textures/UI/vaporizebutton_outline_dark.png        | 40
?      | Resources/Automap/AutomapRender.renderTexture                          | UNMAPPED                                           | 3
?      | Resources/BlockedBySecurity/blocked_00.png                             | UNMAPPED                                           | 2
?      | Resources/ConfigCameraView.renderTexture                               | UNMAPPED                                           | 1
?      | Sprites/blank.png                                                      | UNMAPPED                                           | 9
?      | Textures/TouchStick_Background.png                                     | UNMAPPED                                           | 2
?      | Textures/TouchStick_Knob.png                                           | UNMAPPED                                           | 2
?      | Textures/UI/MiniGamesRT.renderTexture                                  | UNMAPPED                                           | 1
?      | Textures/UI/centertab.png                                              | UNMAPPED                                           | 4
?      | Textures/UI/checkmarkbloom.png                                         | UNMAPPED                                           | 2
?      | Textures/UI/checkmarkssao.png                                          | UNMAPPED                                           | 1
?      | Textures/UI/elnum_null.png                                             | UNMAPPED                                           | 6
?      | Textures/UI/healthticks24.png                                          | UNMAPPED                                           | 2
?      | Textures/UI/hud_hwico_shield.png                                       | UNMAPPED                                           | 1
?      | Textures/UI/hudbuttons/0038_0031.png                                   | UNMAPPED                                           | 2
?      | Textures/UI/hudbuttons/keypad_end.png                                  | UNMAPPED                                           | 32
?      | Textures/UI/hudbuttons/keypad_inner_on.png                             | UNMAPPED                                           | 44
?      | Textures/UI/hudbuttons/keypad_mid.png                                  | UNMAPPED                                           | 8
?      | Textures/UI/hudmaps/G2_hazards.png                                     | UNMAPPED                                           | 1
?      | Textures/UI/hudmaps/L1.png                                             | UNMAPPED                                           | 1
?      | Textures/UI/hudmaps/L1_hazards.png                                     | UNMAPPED                                           | 1
?      | Textures/UI/hudmaps/L2_hazards.png                                     | UNMAPPED                                           | 1
?      | Textures/UI/hudmaps/L4_hazards.png                                     | UNMAPPED                                           | 1
?      | Textures/UI/hudmaps/L5_hazards.png                                     | UNMAPPED                                           | 1
?      | Textures/UI/hudmaps/L7_hazards.png                                     | UNMAPPED                                           | 1
?      | Textures/UI/hudmaps/L9_hazards.png                                     | UNMAPPED                                           | 1
?      | Textures/UI/hudmaps/LR_hazards.png                                     | UNMAPPED                                           | 1
?      | Textures/UI/hudmaps/automap_side_LG1.png                               | UNMAPPED                                           | 1
?      | Textures/UI/hudmaps/automap_side_LG2.png                               | UNMAPPED                                           | 1
?      | Textures/UI/hudmaps/circle_lg.png                                      | UNMAPPED                                           | 2
?      | Textures/UI/hudmaps/circle_sm.png                                      | UNMAPPED                                           | 2
?      | Textures/UI/hudmaps/player_180.png                                     | UNMAPPED                                           | 4
?      | Textures/UI/itemicons/paperico.png                                     | UNMAPPED                                           | 2
?      | Textures/UI/nullsprite.png                                             | UNMAPPED                                           | 6
?      | Textures/UI/painstatic_blue1.png                                       | UNMAPPED                                           | 1
?      | Textures/UI/painstatic_red4.png                                        | UNMAPPED                                           | 1
?      | Textures/UI/puzzle/geniusgrid_highlight.png                            | UNMAPPED                                           | 70
?      | Textures/UI/puzzle/grid1_base.png                                      | UNMAPPED                                           | 70
?      | Textures/UI/puzzle/gridcontainer.png                                   | UNMAPPED                                           | 2
?      | Textures/UI/puzzle/gridcontainer_gray.png                              | UNMAPPED                                           | 4
