date,builds_today
2025-12-10,230
2025-12-11,121
2025-12-15,90
2025-12-16,14
2025-12-17,295
2025-12-18,147
2025-12-19,101
2025-12-20,29
2025-12-21,184
2025-12-22,380
2025-12-23,45
2025-12-24,10
2025-12-25,24
2025-12-26,46
2025-12-27,297
2025-12-28,78
2025-12-29,127
2025-12-30,42
2025-12-31,1
2026-01-01,107
2026-01-02,79
2026-01-03,79
2026-01-04,188
2026-01-05,103
2026-01-06,227
2026-01-07,263
2026-01-08,157
2026-01-09,71
2026-01-10,153
2026-01-11,66
2026-01-12,85
2026-01-13,268
2026-01-14,169
2026-01-15,16
