frameNum: 0, event type: 1, timestamp: 704348.983904, delta time: 704348.983904, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 1, event type: 20, timestamp: 704349.113370, delta time: 0.129466, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 2, event type: 2, timestamp: 704349.114543, delta time: 0.001173, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 3, event type: 4, timestamp: 704349.114562, delta time: 0.000019, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 4, event type: 3, timestamp: 704349.114825, delta time: 0.000263, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 5, event type: 2, timestamp: 704349.147370, delta time: 0.032545, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 6, event type: 4, timestamp: 704349.147388, delta time: 0.000018, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 7, event type: 3, timestamp: 704349.147420, delta time: 0.000032, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 8, event type: 2, timestamp: 704349.147922, delta time: 0.000502, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 9, event type: 4, timestamp: 704349.148779, delta time: 0.000857, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 10, event type: 3, timestamp: 704349.148827, delta time: 0.000047, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 11, event type: 2, timestamp: 704349.160799, delta time: 0.011972, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 12, event type: 4, timestamp: 704349.160815, delta time: 0.000017, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 13, event type: 3, timestamp: 704349.160845, delta time: 0.000030, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 14, event type: 2, timestamp: 704349.161405, delta time: 0.000560, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 15, event type: 4, timestamp: 704349.175490, delta time: 0.014085, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 16, event type: 3, timestamp: 704349.175567, delta time: 0.000077, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 17, event type: 2, timestamp: 704349.176457, delta time: 0.000891, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 18, event type: 4, timestamp: 704349.192089, delta time: 0.015631, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 19, event type: 3, timestamp: 704349.192211, delta time: 0.000122, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 20, event type: 2, timestamp: 704349.192838, delta time: 0.000627, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 21, event type: 4, timestamp: 704349.208667, delta time: 0.015828, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 22, event type: 3, timestamp: 704349.208774, delta time: 0.000108, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 23, event type: 2, timestamp: 704349.209448, delta time: 0.000673, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 24, event type: 4, timestamp: 704349.225381, delta time: 0.015933, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 25, event type: 3, timestamp: 704349.225422, delta time: 0.000041, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 26, event type: 2, timestamp: 704349.226041, delta time: 0.000620, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 27, event type: 4, timestamp: 704349.242162, delta time: 0.016121, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 28, event type: 3, timestamp: 704349.242242, delta time: 0.000080, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 29, event type: 2, timestamp: 704349.242929, delta time: 0.000686, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 30, event type: 4, timestamp: 704349.258910, delta time: 0.015982, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 31, event type: 3, timestamp: 704349.259017, delta time: 0.000107, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 32, event type: 2, timestamp: 704349.259774, delta time: 0.000757, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 33, event type: 4, timestamp: 704349.275472, delta time: 0.015698, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 34, event type: 3, timestamp: 704349.275511, delta time: 0.000040, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 35, event type: 2, timestamp: 704349.276046, delta time: 0.000535, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 36, event type: 4, timestamp: 704349.292139, delta time: 0.016093, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 37, event type: 3, timestamp: 704349.292212, delta time: 0.000073, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 38, event type: 2, timestamp: 704349.292896, delta time: 0.000684, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 39, event type: 4, timestamp: 704349.308749, delta time: 0.015853, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 40, event type: 3, timestamp: 704349.308839, delta time: 0.000090, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 41, event type: 2, timestamp: 704349.309550, delta time: 0.000711, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 42, event type: 4, timestamp: 704349.325383, delta time: 0.015834, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 43, event type: 3, timestamp: 704349.325418, delta time: 0.000034, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 44, event type: 2, timestamp: 704349.325984, delta time: 0.000567, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 45, event type: 4, timestamp: 704349.342063, delta time: 0.016079, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 46, event type: 3, timestamp: 704349.342099, delta time: 0.000036, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 47, event type: 2, timestamp: 704349.342617, delta time: 0.000517, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 48, event type: 4, timestamp: 704349.358592, delta time: 0.015975, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 49, event type: 3, timestamp: 704349.358630, delta time: 0.000039, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 50, event type: 2, timestamp: 704349.359212, delta time: 0.000581, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 51, event type: 4, timestamp: 704349.375233, delta time: 0.016021, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 52, event type: 3, timestamp: 704349.375266, delta time: 0.000033, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 53, event type: 2, timestamp: 704349.375812, delta time: 0.000547, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 54, event type: 4, timestamp: 704349.391897, delta time: 0.016085, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 55, event type: 3, timestamp: 704349.391931, delta time: 0.000034, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 56, event type: 2, timestamp: 704349.392489, delta time: 0.000558, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 57, event type: 4, timestamp: 704349.408563, delta time: 0.016074, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 58, event type: 3, timestamp: 704349.408593, delta time: 0.000031, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 59, event type: 2, timestamp: 704349.409113, delta time: 0.000519, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 60, event type: 4, timestamp: 704349.425227, delta time: 0.016115, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 61, event type: 3, timestamp: 704349.425261, delta time: 0.000034, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 62, event type: 2, timestamp: 704349.425759, delta time: 0.000498, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 63, event type: 4, timestamp: 704349.441892, delta time: 0.016132, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 64, event type: 3, timestamp: 704349.441923, delta time: 0.000031, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 65, event type: 2, timestamp: 704349.442431, delta time: 0.000508, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 66, event type: 4, timestamp: 704349.458585, delta time: 0.016154, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 67, event type: 3, timestamp: 704349.458623, delta time: 0.000038, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 68, event type: 2, timestamp: 704349.459198, delta time: 0.000575, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 69, event type: 4, timestamp: 704349.475203, delta time: 0.016005, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 70, event type: 3, timestamp: 704349.475235, delta time: 0.000032, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 71, event type: 2, timestamp: 704349.475768, delta time: 0.000533, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 72, event type: 4, timestamp: 704349.491881, delta time: 0.016113, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 73, event type: 3, timestamp: 704349.491934, delta time: 0.000053, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 74, event type: 2, timestamp: 704349.492518, delta time: 0.000584, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 75, event type: 4, timestamp: 704349.508562, delta time: 0.016044, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 76, event type: 3, timestamp: 704349.508594, delta time: 0.000032, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 77, event type: 2, timestamp: 704349.509112, delta time: 0.000518, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 78, event type: 4, timestamp: 704349.525384, delta time: 0.016273, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 79, event type: 3, timestamp: 704349.525422, delta time: 0.000037, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 80, event type: 2, timestamp: 704349.525934, delta time: 0.000512, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 81, event type: 4, timestamp: 704349.542057, delta time: 0.016123, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 82, event type: 3, timestamp: 704349.542094, delta time: 0.000037, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 83, event type: 2, timestamp: 704349.542610, delta time: 0.000515, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 84, event type: 4, timestamp: 704349.558712, delta time: 0.016103, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 85, event type: 3, timestamp: 704349.558750, delta time: 0.000037, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 86, event type: 2, timestamp: 704349.559266, delta time: 0.000517, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 87, event type: 4, timestamp: 704349.575387, delta time: 0.016121, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 88, event type: 3, timestamp: 704349.575426, delta time: 0.000038, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 89, event type: 2, timestamp: 704349.575934, delta time: 0.000509, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 90, event type: 4, timestamp: 704349.591872, delta time: 0.015938, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 91, event type: 3, timestamp: 704349.591896, delta time: 0.000024, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 92, event type: 2, timestamp: 704349.592333, delta time: 0.000437, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 93, event type: 4, timestamp: 704349.608714, delta time: 0.016381, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 94, event type: 3, timestamp: 704349.608750, delta time: 0.000037, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 95, event type: 2, timestamp: 704349.609264, delta time: 0.000513, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 96, event type: 4, timestamp: 704349.627146, delta time: 0.017882, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 97, event type: 3, timestamp: 704349.627180, delta time: 0.000034, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 98, event type: 2, timestamp: 704349.627661, delta time: 0.000481, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 99, event type: 4, timestamp: 704349.642044, delta time: 0.014382, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 100, event type: 3, timestamp: 704349.642080, delta time: 0.000036, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 101, event type: 2, timestamp: 704349.642591, delta time: 0.000511, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 102, event type: 4, timestamp: 704349.658591, delta time: 0.016001, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 103, event type: 3, timestamp: 704349.658655, delta time: 0.000064, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 104, event type: 2, timestamp: 704349.659258, delta time: 0.000603, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 105, event type: 4, timestamp: 704349.675409, delta time: 0.016151, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 106, event type: 3, timestamp: 704349.675445, delta time: 0.000036, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 107, event type: 2, timestamp: 704349.675966, delta time: 0.000522, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 108, event type: 4, timestamp: 704349.692105, delta time: 0.016139, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 109, event type: 3, timestamp: 704349.692143, delta time: 0.000038, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 110, event type: 2, timestamp: 704349.692666, delta time: 0.000523, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 111, event type: 4, timestamp: 704349.708694, delta time: 0.016029, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 112, event type: 3, timestamp: 704349.708731, delta time: 0.000036, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 113, event type: 2, timestamp: 704349.709253, delta time: 0.000522, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 114, event type: 4, timestamp: 704349.725380, delta time: 0.016127, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 115, event type: 3, timestamp: 704349.725418, delta time: 0.000038, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 116, event type: 2, timestamp: 704349.725940, delta time: 0.000522, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 117, event type: 4, timestamp: 704349.742044, delta time: 0.016105, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 118, event type: 3, timestamp: 704349.742081, delta time: 0.000036, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 119, event type: 2, timestamp: 704349.742599, delta time: 0.000519, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 120, event type: 4, timestamp: 704349.758728, delta time: 0.016129, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 121, event type: 3, timestamp: 704349.758764, delta time: 0.000036, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 122, event type: 2, timestamp: 704349.759291, delta time: 0.000526, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 123, event type: 4, timestamp: 704349.775182, delta time: 0.015891, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 124, event type: 3, timestamp: 704349.775203, delta time: 0.000021, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 125, event type: 2, timestamp: 704349.775611, delta time: 0.000408, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 126, event type: 4, timestamp: 704349.792056, delta time: 0.016446, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 127, event type: 3, timestamp: 704349.792093, delta time: 0.000036, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 128, event type: 2, timestamp: 704349.792611, delta time: 0.000518, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 129, event type: 4, timestamp: 704349.808702, delta time: 0.016091, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 130, event type: 3, timestamp: 704349.808738, delta time: 0.000036, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 131, event type: 2, timestamp: 704349.809261, delta time: 0.000523, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 132, event type: 4, timestamp: 704349.825375, delta time: 0.016114, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 133, event type: 3, timestamp: 704349.825411, delta time: 0.000036, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 134, event type: 2, timestamp: 704349.825931, delta time: 0.000520, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 135, event type: 4, timestamp: 704349.842050, delta time: 0.016119, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 136, event type: 3, timestamp: 704349.842086, delta time: 0.000036, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 137, event type: 2, timestamp: 704349.842601, delta time: 0.000516, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 138, event type: 4, timestamp: 704349.858710, delta time: 0.016109, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 139, event type: 3, timestamp: 704349.858747, delta time: 0.000037, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 140, event type: 2, timestamp: 704349.859269, delta time: 0.000522, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 141, event type: 4, timestamp: 704349.875366, delta time: 0.016098, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 142, event type: 3, timestamp: 704349.875404, delta time: 0.000037, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 143, event type: 2, timestamp: 704349.875920, delta time: 0.000516, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 144, event type: 4, timestamp: 704349.892056, delta time: 0.016136, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 145, event type: 3, timestamp: 704349.892098, delta time: 0.000043, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 146, event type: 2, timestamp: 704349.892619, delta time: 0.000521, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 147, event type: 4, timestamp: 704349.908676, delta time: 0.016057, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 148, event type: 3, timestamp: 704349.908711, delta time: 0.000035, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 149, event type: 2, timestamp: 704349.909218, delta time: 0.000507, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 150, event type: 4, timestamp: 704349.925363, delta time: 0.016145, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 151, event type: 3, timestamp: 704349.925398, delta time: 0.000035, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 152, event type: 2, timestamp: 704349.925903, delta time: 0.000505, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 153, event type: 4, timestamp: 704349.942021, delta time: 0.016118, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 154, event type: 3, timestamp: 704349.942056, delta time: 0.000035, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 155, event type: 2, timestamp: 704349.942657, delta time: 0.000601, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 156, event type: 4, timestamp: 704349.958665, delta time: 0.016008, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 157, event type: 3, timestamp: 704349.958703, delta time: 0.000038, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 158, event type: 2, timestamp: 704349.959212, delta time: 0.000508, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 159, event type: 4, timestamp: 704349.975327, delta time: 0.016115, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 160, event type: 3, timestamp: 704349.975364, delta time: 0.000037, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 161, event type: 2, timestamp: 704349.975873, delta time: 0.000509, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 162, event type: 4, timestamp: 704349.992042, delta time: 0.016169, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 163, event type: 3, timestamp: 704349.992080, delta time: 0.000039, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 164, event type: 2, timestamp: 704349.992593, delta time: 0.000513, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 165, event type: 4, timestamp: 704350.008735, delta time: 0.016142, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 166, event type: 3, timestamp: 704350.008777, delta time: 0.000041, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 167, event type: 2, timestamp: 704350.009303, delta time: 0.000526, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 168, event type: 4, timestamp: 704350.025335, delta time: 0.016032, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 169, event type: 3, timestamp: 704350.025373, delta time: 0.000038, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 170, event type: 2, timestamp: 704350.025879, delta time: 0.000506, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 171, event type: 4, timestamp: 704350.041994, delta time: 0.016115, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 172, event type: 3, timestamp: 704350.042031, delta time: 0.000037, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 173, event type: 2, timestamp: 704350.042543, delta time: 0.000512, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 174, event type: 4, timestamp: 704350.058678, delta time: 0.016135, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 175, event type: 3, timestamp: 704350.058715, delta time: 0.000037, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 176, event type: 2, timestamp: 704350.059226, delta time: 0.000511, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 177, event type: 4, timestamp: 704350.075340, delta time: 0.016114, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 178, event type: 3, timestamp: 704350.075377, delta time: 0.000037, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 179, event type: 2, timestamp: 704350.075887, delta time: 0.000510, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 180, event type: 4, timestamp: 704350.092038, delta time: 0.016151, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 181, event type: 3, timestamp: 704350.092078, delta time: 0.000040, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 182, event type: 2, timestamp: 704350.092599, delta time: 0.000521, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 183, event type: 4, timestamp: 704350.108659, delta time: 0.016060, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
frameNum: 184, event type: 3, timestamp: 704350.108695, delta time: 0.000037, payload1u: 0, payload2u: 0, payload1f: 0.000000, payload2f: 0.000000
